,Time,Size of Ads ,words of content,Treated,After,Interaction ,Unnamed: 6,Unnamed: 7,TimeManawatu,Manawatu Ads treated,Manawatu Words of content,Unnamed: 11,Weekender Treated,Weekender Ads Treated,Weekender words,Unnamed: 15,Time Hasting,Hasting Ads Treated,Hasting words ,Unnamed: 19,Unnamed: 20,Unnamed: 21,TimeNapvier,Napver Ads treated,Napier words of content,Unnamed: 25,Time Katikati,Katikati Ads control ,Katikati  words,Unnamed: 29,Time Hamilton,Hamilton ads control,Hamilton words,Unnamed: 33,Time Costal news control,Costal control ads,Costal news WORDS,Unnamed: 37,Time Whanganui control,Whanganui Ads control,Whanganui words
0,20171101,0.540712643678161,7777,1,0,0,,,20171102,0.652413793103448,9162.0,,20171103.0,0.597637647058823,5466.0,,20171101.0,0.54449,7727.0,,,,20171101,0.540712643678161,7777.0,,20171102.0,0.791818181818182,11575.0,,20171103.0,0.822777777777778,8126.0,,20171102.0,0.735,9474.0,,20171101.0,0.727777777777778,14505.0
1,20171108,0.420195402298851,5143,1,0,0,,,2017.11.9,0.811136363636364,7556.0,,20171110.0,0.682549019607843,4935.0,,20171108.0,0.569467,8549.0,,,,20171108,0.420195402298851,5143.0,,20171109.0,0.685,11855.0,,20171110.0,0.719444444444444,12026.0,,20171109.0,0.659285714285714,11575.0,,20171108.0,0.718055555555556,13150.0
2,2017.11.15,0.599054916985951,5558,1,0,0,,,20171116,0.73,5128.0,,20171117.0,0.627647058823529,6062.0,,20171115.0,0.563913,7891.0,,,,2017.11.15,0.599054916985951,5558.0,,20171116.0,0.700833333333333,11199.0,,20171117.0,0.732888888888889,12070.0,,20171116.0,0.646666666666667,11855.0,,20171115.0,0.714772727272727,13541.0
3,20171122,0.685416666666667,4949,1,0,0,,,20171123,0.688571428571429,7869.0,,20171124.0,0.644098039215686,8587.0,,20171122.0,0.592143,6801.0,,,,20171122,0.685416666666667,4949.0,,20171123.0,0.715555555555556,9387.0,,20171124.0,0.772222222222222,14213.0,,20181123.0,0.655416666666667,11199.0,,20171122.0,0.672058823529412,12981.0
4,20171129,0.7375,4903,1,0,0,,,20171130,0.691785714285714,7818.0,,20171201.0,0.655529411764706,5879.0,,20171129.0,0.5492,7288.0,,,,20171129,0.7375,4903.0,,20171130.0,0.740540540540541,9474.0,,20171201.0,0.748,17081.0,,20171130.0,0.6875,9387.0,,20171129.0,0.648125,15074.0
5,20171206,0.749166666666667,6743,1,0,0,,,20171207,0.684642857142857,7835.0,,20171208.0,0.691882352941177,5182.0,,20171206.0,0.5544,15916.0,,,,20171206,0.749166666666667,6743.0,,20171207.0,0.672727272727273,13988.0,,20171208.0,0.758857142857143,10876.0,,20171207.0,0.765,13988.0,,20171206.0,0.6021875,10130.0
6,20171213,0.660416666666667,5556,1,0,0,,,20171214,0.76304347826087,6586.0,,20171215.0,0.653549019607843,7503.0,,20171213.0,0.670417,11004.0,,,,20171213,0.660416666666667,5556.0,,20171214.0,0.768378378378378,7548.0,,20171215.0,0.8,12753.0,,20171214.0,0.702083333333333,7548.0,,20171213.0,0.687,13744.0
7,20171220,0.550217391304348,11036,1,0,0,,,20171221,0.6976,7557.0,,20171222.0,0.800911764705882,3742.0,,20171220.0,0.478125,12971.0,,,,20171220,0.550217391304348,11036.0,,20171221.0,0.729166666666667,10473.0,,20171222.0,0.733214285714286,9468.0,,20171221.0,0.721875,10473.0,,20171220.0,0.771282051282051,10822.0
8,20180110,0.484,7767,1,0,0,,,20180111,0.5975,7910.0,,20180112.0,0.573047058823529,7099.0,,20180110.0,0.484,11765.0,,,,20180110,0.484,7767.0,,20171228.0,0.726363636363636,5412.0,,20180112.0,0.793939393939394,12458.0,,20171228.0,0.828125,5412.0,,20180117.0,0.693928571428571,12036.0
9,20180117,0.507142857142857,9386,1,0,0,,,20180118,0.666,7820.0,,20180119.0,0.705613445378151,9007.0,,20180117.0,0.592,11529.0,,,,20180117,0.507142857142857,9386.0,,20180104.0,0.677083333333333,1826.0,,20180119.0,0.736875,10850.0,,20180104.0,0.821875,1826.0,,20180124.0,0.668928571428571,11646.0
